"level","table","title","description","updated","dimensions"
"px-x-0103010000_114","px-x-0103010000_114.px","Ständige und nichtständige Wohnbevölkerung nach Kanton, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit, 2014","Ständige und nichtständige Wohnbevölkerung nach Jahr, Kanton, Bevölkerungstyp, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit","2020-12-10T09:07:20","Jahr,Kanton,Bevölkerungstyp,Geschlecht,Anwesenheitsbewilligung,Alter,Staatsangehörigkeit"
"px-x-0103010000_115","px-x-0103010000_115.px","Ständige und nichtständige Wohnbevölkerung nach Kanton, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit, 2015","Ständige und nichtständige Wohnbevölkerung nach Jahr, Kanton, Bevölkerungstyp, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit","2020-12-10T09:07:52","Jahr,Kanton,Bevölkerungstyp,Geschlecht,Anwesenheitsbewilligung,Alter,Staatsangehörigkeit"
"px-x-0103010000_116","px-x-0103010000_116.px","Ständige und nichtständige Wohnbevölkerung nach Kanton, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit, 2016","Ständige und nichtständige Wohnbevölkerung nach Jahr, Kanton, Bevölkerungstyp, Anwesenheitsbewilligung, Staatsangehörigkeit, Geschlecht und Alter","2020-12-10T09:08:26","Jahr,Kanton,Bevölkerungstyp,Anwesenheitsbewilligung,Staatsangehörigkeit,Geschlecht,Alter"
"px-x-0103010000_117","px-x-0103010000_117.px","Ständige und nichtständige Wohnbevölkerung nach Kanton, Anwesenheitsbewilligung, Staatsangehörigkeit, Geschlecht und Alter, 2017","Ständige und nichtständige Wohnbevölkerung nach Jahr, Kanton, Bevölkerungstyp, Anwesenheitsbewilligung, Staatsangehörigkeit, Geschlecht und Alter","2020-12-10T09:09:00","Jahr,Kanton,Bevölkerungstyp,Anwesenheitsbewilligung,Staatsangehörigkeit,Geschlecht,Alter"
"px-x-0103010000_118","px-x-0103010000_118.px","Ständige und nichtständige Wohnbevölkerung nach Kanton, Anwesenheitsbewilligung, Staatsangehörigkeit, Geschlecht und Alter, 2018","Ständige und nichtständige Wohnbevölkerung nach Jahr, Kanton, Bevölkerungstyp, Anwesenheitsbewilligung, Staatsangehörigkeit, Geschlecht und Alter","2020-12-10T09:09:34","Jahr,Kanton,Bevölkerungstyp,Anwesenheitsbewilligung,Staatsangehörigkeit,Geschlecht,Alter"
"px-x-0103010000_119","px-x-0103010000_119.px","Ständige und nichtständige Wohnbevölkerung nach Kanton, Anwesenheitsbewilligung, Staatsangehörigkeit, Geschlecht und Alter, 2019","Ständige und nichtständige Wohnbevölkerung nach Jahr, Kanton, Bevölkerungstyp, Anwesenheitsbewilligung, Staatsangehörigkeit, Geschlecht und Alter","2020-12-10T09:10:08","Jahr,Kanton,Bevölkerungstyp,Anwesenheitsbewilligung,Staatsangehörigkeit,Geschlecht,Alter"
"px-x-0103010000_419","px-x-0103010000_419.px","Ständige und nichtständige Wohnbevölkerung nach Kanton, Staatsangehörigkeit, Geburtsstaat, Geschlecht und Zivilstand, 2019","Ständige und nichtständige Wohnbevölkerung nach Jahr, Kanton, Bevölkerungstyp, Staatsangehörigkeit, Geburtsstaat, Geschlecht und Zivilstand","2021-04-06T15:52:06","Jahr,Kanton,Bevölkerungstyp,Staatsangehörigkeit,Geburtsstaat,Geschlecht,Zivilstand"
"px-x-0104000000_101","px-x-0104000000_101.px","Szenarien zur Bevölkerungsentwicklung der Schweiz 2020-2050 - Bevölkerung und Bewegungen nach Szenario-Variante, Staatsangehörigkeit (Kategorie), Geschlecht und Altersklasse","Szenarien zur Bevölkerungsentwicklung der Schweiz 2020-2050 - Bevölkerung und Bewegungen nach Szenario-Variante, Staatsangehörigkeit (Kategorie), Geschlecht, Altersklasse, Jahr und Beobachtungseinheit","2020-12-10T09:33:52","Szenario-Variante,Staatsangehörigkeit (Kategorie),Geschlecht,Altersklasse,Jahr,Beobachtungseinheit"
"px-x-0104000000_102","px-x-0104000000_102.px","Szenarien zur Bevölkerungsentwicklung der Schweiz 2020-2050 - Bevölkerung und Bewegungen nach Szenario-Variante, Staatsangehörigkeit (Kategorie), Geschlecht und Alter","Szenarien zur Bevölkerungsentwicklung der Schweiz 2020-2050 - Bevölkerung und Bewegungen nach Szenario-Variante, Staatsangehörigkeit (Kategorie), Geschlecht, Alter, Jahr und Beobachtungseinheit","2020-12-10T09:34:00","Szenario-Variante,Staatsangehörigkeit (Kategorie),Geschlecht,Alter,Jahr,Beobachtungseinheit"
"px-x-0104000000_103","px-x-0104000000_103.px","Szenarien zur Bevölkerungsentwicklung der Schweiz 2020-2050 - Ziffern und Indikatoren nach Szenario-Variante, Staatsangehörigkeit (Kategorie), Geschlecht und Alter","Szenarien zur Bevölkerungsentwicklung der Schweiz 2020-2050 - Ziffern und Indikatoren nach Szenario-Variante, Staatsangehörigkeit (Kategorie), Geschlecht, Alter, Jahr und Beobachtungseinheit","2020-12-10T09:34:10","Szenario-Variante,Staatsangehörigkeit (Kategorie),Geschlecht,Alter,Jahr,Beobachtungseinheit"
"px-x-0104000000_104","px-x-0104000000_104.px","Szenarien zur Bevölkerungsentwicklung der Schweiz 2020-2050 - Bevölkerungswachstum und Bevölkerungsindikatoren nach Szenario-Variante","Szenarien zur Bevölkerungsentwicklung der Schweiz 2020-2050 - Bevölkerungswachstum und Bevölkerungsindikatoren nach Szenario-Variante, Jahr und Beobachtungseinheit","2020-12-10T09:34:14","Szenario-Variante,Jahr,Beobachtungseinheit"
"px-x-0104020000_105","px-x-0104020000_105.px","Szenarien zur Bevölkerungsentwicklung der Kantone 2020-2050, Variante AR-06-2020 'tiefes Wanderungssaldo' - zukünftige Bevölkerungsentwicklung nach Kanton, Staatsangehörigkeit (Kategorie), Geschlecht und Alter","Szenarien zur Bevölkerungsentwicklung der Kantone 2020-2050, Variante AR-06-2020 'tiefes Wanderungssaldo' - zukünftige Bevölkerungsentwicklung nach Kanton, Staatsangehörigkeit (Kategorie), Geschlecht, Alter, Jahr und Beobachtungseinheit","2020-12-10T09:35:02","Kanton,Staatsangehörigkeit (Kategorie),Geschlecht,Alter,Jahr,Beobachtungseinheit"
"px-x-0104020000_106","px-x-0104020000_106.px","Szenarien zur Bevölkerungsentwicklung der Kantone 2020-2050 - zukünftige Bevölkerungsentwicklung nach Kanton, Szenario-Variante, Staatsangehörigkeit (Kategorie), Geschlecht und Altersklasse","Szenarien zur Bevölkerungsentwicklung der Kantone 2020-2050 - zukünftige Bevölkerungsentwicklung nach Kanton, Szenario-Variante, Staatsangehörigkeit (Kategorie), Geschlecht, Altersklasse, Jahr und Beobachtungseinheit","2020-12-10T09:35:12","Kanton,Szenario-Variante,Staatsangehörigkeit (Kategorie),Geschlecht,Altersklasse,Jahr,Beobachtungseinheit"
"px-x-0301000000_101","px-x-0301000000_101.px","Szenarien zur Entwicklung der Erwerbsbevölkerung 2020-2050 – Erwerbsquote und Erwerbsbevölkerung nach Szenario-Variante, Staatsangehörigkkeit (Kategorie), Geschlecht und Alter","Szenarien zur Entwicklung der Erwerbsbevölkerung 2020-2050 – Erwerbsquote und Erwerbsbevölkerung nach Szenario-Variante, Staatsangehörigkeit (Kategorie), Geschlecht, Alter, Jahr und Beobachtungseinheit","2020-12-10T09:36:50","Szenario-Variante,Staatsangehörigkeit (Kategorie),Geschlecht,Alter,Jahr,Beobachtungseinheit"
"px-x-0301000000_103","px-x-0301000000_103.px","Szenarien zur Entwicklung der Erwerbsbevölkerung 2020-2050 – Anzahl Personen ab 65 Jahren je 100 Erwerbspersonen zwischen 20 bis 64 Jahren nach Szenario-Variante und Staatsangehörigkeit (Kategorie)","Szenarien zur Entwicklung der Erwerbsbevölkerung 2020-2050 – Anzahl Personen ab 65 Jahren je 100 Erwerbspersonen zwischen 20 bis 64 Jahren nach Szenario-Variante, Staatsangehörigkeit (Kategorie), Jahr und Beobachtungseinheit","2020-12-11T16:39:24","Szenario-Variante,Staatsangehörigkeit (Kategorie),Jahr,Beobachtungseinheit"
"px-x-0301000000_104","px-x-0301000000_104.px","Szenarien zur Entwicklung der ausländischen Grenzgänger/innen 2020-2050 nach Szenario und Geschlecht","Szenarien zur Entwicklung der ausländischen Grenzgänger/innen 2020-2050 nach Szenario, Geschlecht und Jahr","2020-12-12T11:08:34","Szenario,Geschlecht,Jahr"
"px-x-0304010000_101","px-x-0304010000_101.px","Monatlicher Bruttolohn nach Tätigkeit","Monatlicher Bruttolohn nach Jahr, Grossregion, Tätigkeit, Anforderungsniveau des Arbeitsplatzes und Geschlecht","2020-12-10T09:37:30","Jahr,Grossregion,Tätigkeit,Anforderungsniveau des Arbeitsplatzes,Geschlecht"
"px-x-0304010000_111","px-x-0304010000_111.px","Monatlicher Bruttolohn nach Ausbildung","Monatlicher Bruttolohn nach Jahr, Grossregion, Ausbildung, Berufliche Stellung, Geschlecht und Zentralwert und Quartilbereich","2020-12-10T09:37:34","Jahr,Grossregion,Ausbildung,Berufliche Stellung,Geschlecht,Zentralwert und Quartilbereich"
"px-x-0304010000_112","px-x-0304010000_112.px","Monatlicher Bruttolohn SchweizerInnen und AusländerInnen","Monatlicher Bruttolohn SchweizerInnen und AusländerInnen nach Jahr, Grossregion, Staatsangehörigkeit / Anwesenheitsbewilligung, Anforderungsniveau des Arbeitsplatzes, Geschlecht und Zentralwert und Quartilbereich","2020-12-10T09:37:36","Jahr,Grossregion,Staatsangehörigkeit / Anwesenheitsbewilligung,Anforderungsniveau des Arbeitsplatzes,Geschlecht,Zentralwert und Quartilbereich"
"px-x-0304010000_121","px-x-0304010000_121.px","Häufigkeitsverteilung Voll- und Teilzeitbeschäftigte nach Nettolohnhöhenklassen","Häufigkeitsverteilung Voll- und Teilzeitbeschäftigte nach Jahr, Grossregion, Nettolohnhöhenklasse, Beschäftigungsgrad und Geschlecht","2020-12-10T09:37:40","Jahr,Grossregion,Nettolohnhöhenklasse,Beschäftigungsgrad,Geschlecht"
"px-x-0304010000_201","px-x-0304010000_201.px","Monatlicher Bruttolohn nach Grossregion, Wirtschaftszweig, beruflicher Stellung und Geschlecht","Monatlicher Bruttolohn nach Jahr, Grossregion, Wirtschaftszweig, Berufliche Stellung, Geschlecht und Zentralwert und Quartilbereich","2020-12-10T09:37:48","Jahr,Grossregion,Wirtschaftszweig,Berufliche Stellung,Geschlecht,Zentralwert und Quartilbereich"
"px-x-0304010000_202","px-x-0304010000_202.px","Monatlicher Bruttolohn nach Grossregion, Ausbildung, beruflicher Stellung und Geschlecht","Monatlicher Bruttolohn nach Jahr, Grossregion, Ausbildung, Berufliche Stellung, Geschlecht und Zentralwert und Quartilbereich","2020-12-10T09:37:52","Jahr,Grossregion,Ausbildung,Berufliche Stellung,Geschlecht,Zentralwert und Quartilbereich"
"px-x-0304010000_203","px-x-0304010000_203.px","Monatlicher Bruttolohn nach Grossregion, Anwesenheitsbewilligung, beruflicher Stellung und Geschlecht","Monatlicher Bruttolohn nach Jahr, Grossregion, Anwesenheitsbewilligung, Berufliche Stellung, Geschlecht und Zentralwert und Quartilbereich","2020-12-10T09:37:54","Jahr,Grossregion,Anwesenheitsbewilligung,Berufliche Stellung,Geschlecht,Zentralwert und Quartilbereich"
"px-x-0304010000_204","px-x-0304010000_204.px","Monatlicher Bruttolohn nach Grossregion, privater oder öffentlicher Sektor, beruflicher Stellung und Geschlecht","Monatlicher Bruttolohn nach Jahr, Grossregion, Privater und öffentlicher Sektor, Berufliche Stellung, Geschlecht und Zentralwert und Quartilbereich","2020-12-10T09:37:58","Jahr,Grossregion,Privater und öffentlicher Sektor,Berufliche Stellung,Geschlecht,Zentralwert und Quartilbereich"
"px-x-0304010000_205","px-x-0304010000_205.px","Monatlicher Bruttolohn nach Grossregion, Berufsgruppe, Alter und Geschlecht","Monatlicher Bruttolohn nach Jahr, Grossregion, Berufsgruppe, Alter, Geschlecht und Zentralwert und Quartilbereich","2020-12-10T09:38:02","Jahr,Grossregion,Berufsgruppe,Alter,Geschlecht,Zentralwert und Quartilbereich"
"px-x-0304010000_206","px-x-0304010000_206.px","Monatlicher Bruttolohn nach Grossregion, Wirtschaftszweig, Anwesenheitsbewilligung und Dienstjahren","Monatlicher Bruttolohn nach Jahr, Grossregion, Wirtschaftsabteilung, Anwesenheitsbewilligung, Dienstjahre und Zentralwert und Quartilbereich","2020-12-10T09:38:10","Jahr,Grossregion,Wirtschaftsabteilung,Anwesenheitsbewilligung,Dienstjahre,Zentralwert und Quartilbereich"
"px-x-0602050000_101","px-x-0602050000_101.px","Arbeitsstätten und Beschäftigte nach Kanton, Wirtschaftssektor und Grössenklasse (BZ)","Arbeitsstätten und Beschäftigte nach Jahr, Kanton, Wirtschaftssektor, Grössenklasse und Variable","2020-12-10T09:39:24","Jahr,Kanton,Wirtschaftssektor,Grössenklasse,Variable"
"px-x-0602050000_102","px-x-0602050000_102.px","Arbeitsstätten und Beschäftigte nach Kanton, Wirtschaftsabteilung und Grössenklasse (BZ)","Arbeitsstätten und Beschäftigte nach Jahr, Kanton, Wirtschaftsabteilung, Grössenklasse und Variable","2020-12-10T09:39:28","Jahr,Kanton,Wirtschaftsabteilung,Grössenklasse,Variable"
"px-x-0602050000_103","px-x-0602050000_103.px","Arbeitsstätten und Beschäftigte nach Gemeinde, Wirtschaftssektor und Grössenklasse (BZ)","Arbeitsstätten und Beschäftigte nach Jahr, Gemeinde, Wirtschaftssektor, Grössenklasse und Variable","2020-12-10T09:39:32","Jahr,Gemeinde,Wirtschaftssektor,Grössenklasse,Variable"
"px-x-0602050000_104","px-x-0602050000_104.px","Arbeitsstätten und Beschäftigte nach Kanton und Wirtschaftsart (BZ)","Arbeitsstätten/Beschäftigte nach Jahr, Kanton, Wirtschaftsart und Variable","2020-12-10T09:39:36","Jahr,Kanton,Wirtschaftsart,Variable"
"px-x-0602050000_105","px-x-0602050000_105.px","Institutionelle Einheiten und Beschäftigte nach Kanton, Wirtschaftssektor, Grössenklasse, Typ, öffentlicher/privater Sektor, wirtschaftliche Ausrichtung und Rechtsform (BZ)","Institutionelle Einheiten/Beschäftigte nach Jahr, Kanton, Wirtschaftssektor, Grössenklasse, Typ der institutionellen Einheit, Öffentlicher / privater Sektor, Wirtschaftliche Ausrichtung, Rechtsform und Variable","2020-12-10T09:39:44","Jahr,Kanton,Wirtschaftssektor,Grössenklasse,Typ der institutionellen Einheit,Öffentlicher / privater Sektor,Wirtschaftliche Ausrichtung,Rechtsform,Variable"
"px-x-0602050000_106","px-x-0602050000_106.px","Institutionelle Einheiten und Beschäftigte nach Kanton, Wirtschaftsabteilung, Grössenklasse, Typ, öffentlicher/privater Sektor und wirtschaftliche Ausrichtung (BZ)","Institutionelle Einheiten/Beschäftigte nach Jahr, Kanton, Wirtschaftsabteilung, Grössenklasse, Typ der institutionellen Einheit, Öffentlicher / privater Sektor, Wirtschaftliche Ausrichtung und Variable","2020-12-10T09:39:54","Jahr,Kanton,Wirtschaftsabteilung,Grössenklasse,Typ der institutionellen Einheit,Öffentlicher / privater Sektor,Wirtschaftliche Ausrichtung,Variable"
"px-x-0602050000_107","px-x-0602050000_107.px","Institutionelle Einheiten und Beschäftigte nach Kanton und Wirtschaftsart (BZ)","Institutionelle Einheiten/Beschäftigte nach Jahr, Kanton, Wirtschaftsart und Variable","2020-12-10T09:39:58","Jahr,Kanton,Wirtschaftsart,Variable"
"px-x-0702000000_204","px-x-0702000000_204.px","Landwirtschaftsbetriebe: Innerbetriebliche Diversifikation und Anteil am Gesamtumsatz nach Kanton","Landwirtschaftsbetriebe: Innerbetriebliche Diversifikation und Anteil am Gesamtumsatz nach Kanton","2021-12-23T11:49:34","Jahr,Kanton,Innerbetriebliche Diversifikation und Anteil am Gesamtumsatz,Resultat"
"px-x-0702000000_205","px-x-0702000000_205.px","Landwirtschaftsbetriebe: Innerbetriebliche Diversifikation und Anteil am Gesamtumsatz nach Region","Landwirtschaftsbetriebe: Innerbetriebliche Diversifikation und Anteil am Gesamtumsatz nach Region","2021-12-23T11:49:34","Jahr,Region,Innerbetriebliche Diversifikation und Anteil am Gesamtumsatz,Resultat"
"px-x-0702000000_206","px-x-0702000000_206.px","Landwirtschaftsbetriebe: Innerbetriebliche Diversifikation und Anteil am Gesamtumsatz nach Grössenklasse LN","Landwirtschaftsbetriebe: Innerbetriebliche Diversifikation und Anteil am Gesamtumsatz nach Grössenklasse LN","2021-12-23T11:49:32","Jahr,Grössenklasse LN,Innerbetriebliche Diversifikation und Anteil am Gesamtumsatz,Resultat"
"px-x-0702000000_210","px-x-0702000000_210.px","Landwirtschaftsbetriebe: Jahresarbeitsstunden der beschäftigten Personen nach Kanton","Landwirtschaftsbetriebe: Jahresarbeitsstunden der beschäftigten Personen nach Kanton","2021-12-23T11:49:34","Jahr,Kanton,Typ der Arbeitskraft,Geschlecht,Erwerbstätigkeit,Resultat"
"px-x-0702000000_211","px-x-0702000000_211.px","Landwirtschaftsbetriebe: Jahresarbeitstunden  der beschäftigten Personen nach Region","Landwirtschaftsbetriebe: Jahresarbeitstunden  der beschäftigten Personen nach Region","2021-12-23T11:49:34","Jahr,Region,Typ der Arbeitskraft,Geschlecht,Erwerbstätigkeit,Resultat"
"px-x-0702000000_212","px-x-0702000000_212.px","Landwirtschaftsbetriebe: Jahresarbeitstunden  der beschäftigten Personen nach Grössenklasse LN","Landwirtschaftsbetriebe: Jahresarbeitstunden  der beschäftigten Personen nach Grössenklasse LN","2021-12-23T11:49:32","Jahr,Grössenklasse LN,Typ der Arbeitskraft,Geschlecht,Erwerbstätigkeit,Resultat"
"px-x-0702000000_213","px-x-0702000000_213.px","Landwirtschaftsbetriebe: Beschäftige Personen und Wochenarbeitsstunden nach Kanton","Landwirtschaftsbetriebe: Beschäftige Personen und Wochenarbeitsstunden nach Kanton","2021-12-23T11:49:34","Jahr,Kanton,Typ der Arbeitskraft,Personalkategorie,Geschlecht,Erwerbstätigkeit,Beschäftigungsgrad,Beobachtungseinheit,Resultat"
"px-x-0702000000_214","px-x-0702000000_214.px","Landwirtschaftsbetriebe: Beschäftige Personen und Wochenarbeitsstunden nach Region","Landwirtschaftsbetriebe: Beschäftige Personen und Wochenarbeitsstunden nach Region","2021-12-23T11:49:34","Jahr,Region,Typ der Arbeitskraft,Personalkategorie,Geschlecht,Erwerbstätigkeit,Beschäftigungsgrad,Beobachtungseinheit,Resultat"
"px-x-0702000000_215","px-x-0702000000_215.px","Landwirtschaftsbetriebe: Beschäftige Personen und Wochenarbeitsstunden nach Grössenklasse LN","Landwirtschaftsbetriebe: Beschäftige Personen und Wochenarbeitsstunden nach Grössenklasse LN","2021-12-23T11:49:32","Jahr,Grössenklasse LN,Typ der Arbeitskraft,Personalkategorie,Geschlecht,Erwerbstätigkeit,Beschäftigungsgrad,Beobachtungseinheit,Resultat"
"px-x-0702000000_231","px-x-0702000000_231.px","Landwirtschaftsbetriebe: Anzahl Tierplätze, Betriebe und Tiere nach Stallsystem und Kanton","Landwirtschaftsbetriebe: Anzahl Tierplätze, Betriebe und Tiere nach Stallsystem und Kanton","2021-12-23T11:49:32","Jahr,Kanton,Tierkategorie,Beobachtungseinheit,Resultat"
"px-x-0702000000_232","px-x-0702000000_232.px","Landwirtschaftsbetriebe: Anzahl Tierplätze, Betriebe und Tiere nach Stallsystem und Region","Landwirtschaftsbetriebe: Anzahl Tierplätze, Betriebe und Tiere nach Stallsystem und Region","2021-12-23T11:49:32","Jahr,Region,Tierkategorie,Beobachtungseinheit,Resultat"
"px-x-0702000000_233","px-x-0702000000_233.px","Landwirtschaftsbetriebe: Anzahl Tierplätze, Betriebe und Tiere nach Stallsystem und Grössenklasse LN","Landwirtschaftsbetriebe: Anzahl Tierplätze, Betriebe und Tiere nach Stallsystem und Grössenklasse LN","2021-12-23T11:49:32","Jahr,Grössenklasse LN,Tierkategorie,Beobachtungseinheit,Resultat"
"px-x-0702000000_261","px-x-0702000000_261.px","Landwirtschaftsbetriebe: Benutzte Digitalisierung, Gründe, Risiken und vorgesehene Nutzung nach Kanton","Landwirtschaftsbetriebe: Benutzte Digitalisierung, Gründe, Risiken und vorgesehene Nutzung nach Kanton","2021-12-23T11:49:32","Jahr,Kanton,Digitalisierung,Resultat"
"px-x-0702000000_262","px-x-0702000000_262.px","Landwirtschaftsbetriebe: Benutzte Digitalisierung, Gründe, Risiken und vorgesehene Nutzung nach Region","Landwirtschaftsbetriebe: Benutzte Digitalisierung, Gründe, Risiken und vorgesehene Nutzung nach Region","2021-12-23T11:49:32","Jahr,Region,Digitalisierung,Resultat"
"px-x-0702000000_263","px-x-0702000000_263.px","Landwirtschaftsbetriebe: Benutzte Digitalisierung, Gründe, Risiken und vorgesehene Nutzung nach Grössenklasse LN","Landwirtschaftsbetriebe: Benutzte Digitalisierung, Gründe, Risiken und vorgesehene Nutzung nach Grössenklasse LN","2021-12-23T11:49:32","Jahr,Grössenklasse LN,Digitalisierung,Resultat"
"px-x-0702000000_271","px-x-0702000000_271.px","Landwirtschaftsbetriebe: Dauer der Beschäftigung von familienfremden Arbeitskräften nach Kanton","Landwirtschaftsbetriebe: Dauer der Beschäftigung von familienfremden Arbeitskräften nach Kanton","2021-12-23T11:49:32","Jahr,Kanton,Anstellungsdauer,Geschlecht,Resultat"
"px-x-0702000000_272","px-x-0702000000_272.px","Landwirtschaftsbetriebe: Dauer der Beschäftigung von familienfremden Arbeitskräften nach Region","Landwirtschaftsbetriebe: Dauer der Beschäftigung von familienfremden Arbeitskräften nach Region","2021-12-23T11:49:32","Jahr,Region,Anstellungsdauer,Geschlecht,Resultat"
"px-x-0702000000_273","px-x-0702000000_273.px","Landwirtschaftsbetriebe: Dauer der Beschäftigung von familienfremden Arbeitskräften nach Grössenklasse LN","Landwirtschaftsbetriebe: Dauer der Beschäftigung von familienfremden Arbeitskräften nach Grössenklasse LN","2021-12-23T11:49:32","Jahr,Grössenklasse LN,Anstellungsdauer,Geschlecht,Resultat"
"px-x-0703010000_103","px-x-0703010000_103.px","Forstbetriebe der Schweiz nach Forstzone, Kanton und Grössenklasse, bis 2014","Forstbetriebe der Schweiz nach Jahr, Forstzone, Kanton, Grössenklasse und Beobachtungseinheit","2020-12-10T09:44:12","Jahr,Forstzone,Kanton,Grössenklasse,Beobachtungseinheit"
"px-x-0703010000_104","px-x-0703010000_104.px","Zertifizierte Waldflächen (ha) und Holzproduktion (m3) der Schweiz, bis 2014","Zertifizierte Waldflächen (ha) und Holzproduktion (m3) der Schweiz nach Jahr, Forstzone, Kanton, Eigentümertyp und Beobachtungseinheit","2020-12-10T09:44:14","Jahr,Forstzone,Kanton,Eigentümertyp,Beobachtungseinheit"
